Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
66bcd8b4c25ae16687c53d41,6683c3090fada48d73372b3f,APPROVED,Not Applicable,2024-08-14T16:20:05.334000Z,2024-08-14T17:09:10.509000Z,2024-08-15T08:17:02.707000Z,2024-08-14T17:09:55.645559Z,2946,CLMUZNH2,86,32,Male,Black,Nigeria,United States,Nigeria,English,No,DATA_EXPIRED
66bcd90a1d673c7355653f73,668402bd764a366c27c443d3,APPROVED,Not Applicable,2024-08-14T16:19:27.850000Z,2024-08-14T16:52:12.385000Z,2024-08-15T08:17:51.475000Z,2024-08-14T16:52:13.675532Z,1965,CLMUZNH2,265,29,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
66bcd9275093e2e83b39cb97,64402f7ad3d019dc99b9f3f0,APPROVED,Not Applicable,2024-08-14T16:25:57.497000Z,2024-08-14T16:57:29.107000Z,2024-08-15T08:17:03.060000Z,2024-08-14T17:01:27.323038Z,1892,CLMUZNH2,3186,23,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
66bcd9389d682007d1de6197,66a8cdc06a148e58534e1244,APPROVED,Not Applicable,2024-08-14T16:21:04.735000Z,2024-08-14T17:09:08.826000Z,2024-08-15T08:17:03.404000Z,2024-08-14T17:09:53.694595Z,2885,CLMUZNH2,81,21,Male,Black,DATA_EXPIRED,United States,United States,English,DATA_EXPIRED,Part-Time
66bcdfbca5a0b59a646edbd4,64045393fa09ada78f0b5301,APPROVED,Not Applicable,2024-08-14T16:48:13.943000Z,2024-08-14T17:48:36.593000Z,2024-08-15T08:17:03.728000Z,2024-08-14T17:50:00.070886Z,3623,CLMUZNH2,2744,37,Male,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
66bce28ea93b99f700456203,669abec15946546f5a97a5ff,APPROVED,Not Applicable,2024-08-14T17:00:04.247000Z,2024-08-14T17:29:32.539000Z,2024-08-15T08:17:04.067000Z,2024-08-14T17:31:18.162307Z,1769,CLMUZNH2,139,32,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
66bcf0515bb3f7c6d0caa40a,6658d3384552a75abbc15f10,APPROVED,Not Applicable,2024-08-14T18:02:01.386000Z,2024-08-14T18:41:37.910000Z,2024-08-15T08:17:04.580000Z,2024-08-14T18:41:39.424592Z,2377,CLMUZNH2,466,39,Male,Mixed,United States,United States,United States,English,No,Full-Time
66c5c5df924474dc01421695,66c2382c6e08f5c40d267214,APPROVED,Not Applicable,2024-08-21T10:48:30.304000Z,2024-08-21T11:21:43.077000Z,2024-08-23T08:40:42.786000Z,2024-08-21T11:21:43.729730Z,1993,CLMUZNH2,7,30,Male,Mixed,United States,United States,United States,English,No,Other
66c5c65a04c969bdcdcfc6bb,595e8b1cd9f24a0001b3a235,APPROVED,Not Applicable,2024-08-21T10:50:20.728000Z,2024-08-21T11:19:25.452000Z,2024-08-23T08:40:49.612000Z,2024-08-21T11:19:26.301725Z,1745,CLMUZNH2,238,37,Female,Asian,United States,United States,United States,English,DATA_EXPIRED,Full-Time
66c5c6dbdedc669074665fd9,66c38fd7ae15be6892682c21,APPROVED,Not Applicable,2024-08-21T10:52:21.805000Z,2024-08-21T11:34:57.554000Z,2024-08-23T08:40:43.242000Z,2024-08-21T11:34:58.294757Z,2556,CLMUZNH2,1,34,Male,White,United States,United States,United States,English,Yes,Full-Time
66c5c6fd065cdc548d8ff2f5,61089ad48fec89460f200973,APPROVED,Not Applicable,2024-08-21T10:52:50.940000Z,2024-08-21T11:23:17.030000Z,2024-08-23T08:40:49.866000Z,2024-08-21T11:23:17.880393Z,1827,clmuznh2,225,24,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
66c5c7ca4b7d652e4cc3315b,601a67866e12e328676f82da,APPROVED,Not Applicable,2024-08-21T11:03:18.600000Z,2024-08-21T11:37:43.064000Z,2024-08-23T08:40:43.519000Z,2024-08-21T11:37:43.929803Z,2065,CLMUZNH2,1,25,Male,DATA_EXPIRED,United States,United States,United States,English,No,Full-Time
66c5c8d93ee15e65cf6bed85,6648c6a3f4c34d92f6bbf133,APPROVED,Not Applicable,2024-08-21T11:00:57.623000Z,2024-08-21T11:16:07.439000Z,2024-08-23T08:40:50.171000Z,2024-08-21T11:16:38.563845Z,910,6648c6a3f4c34d92f6bbf133,126,37,Female,Other,United States,United States,United States,English,No,Unemployed (and job seeking)
66c5c93a20c1500eed077d80,5d2f7fb4bb27200019010768,APPROVED,Not Applicable,2024-08-21T11:02:27.381000Z,2024-08-21T11:31:51.922000Z,2024-08-23T08:40:43.771000Z,2024-08-21T11:31:52.820427Z,1765,CLMUZNH2,1629,28,Male,Other,Colombia,United States,United States,Spanish,Yes,Full-Time
66c5c944a0098f0cd7c03587,6565b89a1bfb38c43dbe6fdd,APPROVED,Not Applicable,2024-08-21T11:02:37.320000Z,2024-08-21T11:47:41.315000Z,2024-08-23T08:40:44.024000Z,2024-08-21T11:47:42.121189Z,2704,CLMUZNH2,116,39,Male,Black,United States,United States,Ghana,English,No,Full-Time
66c5caf7b4886750b6c06884,665af528082e8340b28b6c63,APPROVED,Not Applicable,2024-08-21T11:10:49.341000Z,2024-08-21T11:31:14.030000Z,2024-08-23T08:40:44.286000Z,2024-08-21T11:31:14.855428Z,1225,NOCODE,153,24,Male,Mixed,Ghana,United States,United States,English,Yes,DATA_EXPIRED
66c5cafbd28f8b30f6395684,669bcce597aed4a1624b39f5,APPROVED,Not Applicable,2024-08-21T11:11:24.475000Z,2024-08-21T11:47:21.523000Z,2024-08-23T08:40:50.421000Z,2024-08-21T11:47:22.226636Z,2158,CLMUZNH2,0,34,Female,Black,United States,United States,United States,English,No,Full-Time
66c5cafdd6c3220f49e159bd,66af90b15cdcb0ec9e2b53cb,APPROVED,Not Applicable,2024-08-21T11:10:34.278000Z,2024-08-21T11:55:04.917000Z,2024-08-23T08:40:44.542000Z,2024-08-21T11:55:43.606922Z,2671,CLMUZNH2,11,39,Male,Black,Ghana,United States,United States,English,Yes,Full-Time
66c5cb6230987509da63a3fb,62dbd5b3734a6a1375b46eea,APPROVED,Not Applicable,2024-08-21T11:13:17.928000Z,2024-08-21T12:18:32.703000Z,2024-08-23T08:40:44.806000Z,2024-08-21T12:18:33.465210Z,3915,CLMUZNH2,2667,31,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
66c5cbd3c9d7fcccd7eddd25,6636db94fa3ed150c2d78447,APPROVED,Not Applicable,2024-08-21T11:13:27.763000Z,2024-08-21T11:46:31.708000Z,2024-08-23T08:40:45.058000Z,2024-08-21T11:46:32.628534Z,1984,CLMUZNH2,95,26,Male,White,United States,United States,United States,English,Yes,Part-Time
